Type,Name,TFe,SiO2,Al2O3,CaO,MgO,S,P,FeO,ZnO,K2O,LOI,H2O,UnitPrice
M,PB·Û,61.96,3.67,2.28,0.075,0.069,0.038,0.101,,,0.015,5.28,,856.37
M,Âó¿Ë·Û,60.86,4.71,2.46,0.05,0.07,0.048,0.087,,,0.013,5.69,,828.12
M,Å¦Âü·Û,62.85,3.74,2.29,0.067,0.091,0.025,0.085,,,0.0085,4.03,,846.04
M,ÂÞÒÁÉ½·Û,61.2,4.56,2.4,0.095,0.098,0.047,0.055,,,0.056,4.38,,828.27
M,ÎÚ¿ËÀ¼·Û,65.57,7.5,0.205,0.147,0.317,0,0.00566,,,0.0296,2.84,,916.44
M,Ã«Ëþ·Û,61.74,8.83,1.084,0.2215,0.2592,0.0168,0.0544,,,0.0485,1.0375,,788.9
M,Ó¡¶È·Û,58.15,5.27,6.46,0.05,0.05,0.025,0.0455,,,0.0445,4.91,,752.59
H,ÈÈ·µ¿ó,55.67,5.82,1.9,9.98,1.75,0.35,0.04,,,,,,76.5
C,Àä·µ¿ó,55.29,6.08,1.97,9.98,1.81,0.3,0.045,,,,,,71.4
Z,ÔÓ¿ó,53.22,7.27,2.04,8.71,3.19,0.158,0.036,,,,,,34.65
A1,ÉúÊ¯»Ò·Û,0,2.46,0,1.57,76.36,0,0,,,,11.81,,23.205
A2,¸ßÃ¾·Û,0,7.26,0,77.96,2.8,0,0,,,,13.92,,2.745
J,½¹·Û,0.0012,7.47,5.23,0.75,0.22,0.84,0,,,,87.7,,24.654
B,Ãº·Û,0.0017,7.57,5.03,0.55,0.32,0.94,0,,,,85.7,,25.654
